pm_image_filename,label,unused,duplicate,jar_id,sex
20200211_095030_008.jpg,C-12 male,,1,,
20200211_095030_009.jpg,C-12 male,,1,,
20200211_095032.jpg,C-12 male,,,C12,m
20200211_095701_001.jpg,C-32 M/F female,1,1,,
20200211_095702_008.jpg,C-32 M/F female,1,1,,
20200211_095702_009.jpg,C-32 M/F female,1,1,,
20200211_095702_016.jpg,C-32 M/F female,1,1,,
20200211_095702_017.jpg,C-32 M/F female,1,1,,
20200211_095702_020.jpg,C-32 M/F female,1,1,,
20200211_095704.jpg,C-32 M/F female,1,,,
20200211_100522.jpg,C-40 F/M male,1,,,
20200211_100902.jpg,C-40 F/M female,1,,,
20200211_101525.jpg,C-37 F/M female,1,,,
20200211_102015.jpg,C-27 F/M male,1,,,
20200211_102538.jpg,C-36 F/M male,1,,,
20200211_103445.jpg,C-31 M/F male,1,,,
20200211_103834.jpg,C-31 M/F female,1,,,
20200211_114845_001.jpg,T-2 IM/UF male,,,TM2,m
20200211_114845_002.jpg,T-2 IM/UF male,,1,,
20200211_114845_003.jpg,T-2 IM/UF male,,1,,
